symptom,specialization
I notice my baby has jaundice symptoms,Pediatrics
I have muscle weakness and fatigue,Neurology
I notice dark spots in my vision,Ophthalmology
I have shoulder pain and can't lift my arm,Orthopedics
I suffer from diabetes symptoms,General Medicine
My spine hurts when I bend,Orthopedics
I am experiencing sports injury in my knee,Orthopedics
I feel burning sensation in my stomach,Gastroenterology
I have ear infection symptoms,ENT
I suffer from diabetes symptoms,General Medicine
I suffer from liver problems and jaundice,Gastroenterology
I suffer from diarrhea frequently,Gastroenterology
I experience hallucinations and delusions and it's getting worse,Psychiatry
I experience frequent nosebleeds for several days,ENT
I notice warts on my hands,Dermatology
I twisted my ankle and it's very painful,Orthopedics
I experience light sensitivity and pain,Ophthalmology
I experience acid reflux and heartburn and it's getting worse,Gastroenterology
I feel stiffness in my joints,Orthopedics
I experience hallucinations and delusions,Psychiatry
I have neck pain and limited movement,Orthopedics
I am experiencing irritable bowel syndrome symptoms,Gastroenterology
My baby cries constantly and won't sleep for several days,Pediatrics
I feel stressed all the time for several days,Psychiatry
I am experiencing pain radiating to my jaw,Cardiology
I suffer from weakness on one side of my body,Neurology
I feel tired all the time,General Medicine
I suffer from chronic stomach ulcers,Gastroenterology
I am experiencing inflammatory bowel disease,Gastroenterology
I have nasal congestion and sinusitis and it's getting worse,ENT
I experience burning sensation in eyes,Ophthalmology
I experience phobias and fears,Psychiatry
My child has asthma and wheezing for several days,Pediatrics
I suffer from pain radiating to my jaw,Cardiology
My baby cries constantly and won't sleep,Pediatrics
I experience lower back pain,Orthopedics
I feel fatigued and have chest pressure,Cardiology
My toddler has skin rashes and itching,Pediatrics
I am experiencing severe anxiety attacks,Psychiatry
I suffer from gallbladder pain after meals,Gastroenterology
I experience loss of smell and taste,ENT
I have difficulty swallowing food and it's getting worse,Gastroenterology
I am experiencing eczema on my hands,Dermatology
I experience social anxiety and it's getting worse,Psychiatry
I am experiencing persistent cough and throat irritation,ENT
I experience social anxiety,Psychiatry
My child has high fever and cough,Pediatrics
I notice dark spots in my vision,Ophthalmology
My child has high fever and cough,Pediatrics
I experience malaise and body aches,General Medicine
I suffer from post-traumatic stress symptoms,Psychiatry
My child has developmental delays,Pediatrics
My ankle is swollen and painful,Orthopedics
I have flu-like symptoms,General Medicine
I have elbow pain and stiffness,Orthopedics
I have obsessive thoughts,Psychiatry
I have joint pain in my shoulders and it's getting worse,Orthopedics
I suffer from eczema on my hands,Dermatology
I suffer from hormonal imbalance issues,General Medicine
I feel stiffness in my joints,Orthopedics
I have eye strain and headaches and it's getting worse,Ophthalmology
My eyes are red and itchy,Ophthalmology
I am experiencing respiratory infection,General Medicine
I have pink eye symptoms for several days,Ophthalmology
I suffer from chronic sinusitis,ENT
I experience phobias and fears,Psychiatry
I have post-traumatic stress symptoms for several days,Psychiatry
I notice my scalp is itchy and flaky,Dermatology
I experience chronic fatigue and sadness and it's getting worse,Psychiatry
I have post-traumatic stress symptoms for several days,Psychiatry
I suffer from tingling sensations in my limbs,Neurology
I have persistent cough and throat irritation for several days,ENT
I suffer from chronic migraines with aura,Neurology
I have blurry vision,Ophthalmology
I notice my child has rash all over the body,Pediatrics
My skin is peeling and irritated,Dermatology
I twisted my ankle and it's very painful,Orthopedics
I have tremors in my hands,Neurology
I suffer from persistent dizziness,Neurology
I have frequent severe headaches for several days,Neurology
I have voice hoarseness,ENT
I have eating disorder symptoms,Psychiatry
I notice acne breakouts on my face for several days,Dermatology
I notice hand tremors and stiffness for several days,Neurology
I have persistent cough and throat irritation for several days,ENT
I suffer from muscle weakness and fatigue,Neurology
I have persistent cough and throat irritation and it's getting worse,ENT
I experience light sensitivity and pain,Ophthalmology
I have ear infection symptoms,ENT
My pulse is irregular and rapid and it's getting worse,Cardiology
I have pain in my left arm and chest,Cardiology
I have double vision problems for several days,Ophthalmology
I have arthritis in my hands and it's getting worse,Orthopedics
I experience loss of smell and taste,ENT
I experience memory loss and confusion,Neurology
I have knee pain when walking,Orthopedics
I suffer from migraines regularly,Neurology
I have double vision problems,Ophthalmology
I am experiencing voice hoarseness,ENT
I have general body weakness for several days,General Medicine
I feel fatigued and have chest pressure for several days,Cardiology
I suffer from migraines regularly for several days,Neurology
I have chronic sore throat for several days,ENT
I have ear infection symptoms for several days,ENT
I feel suicidal thoughts,Psychiatry
I experience phobias and fears,Psychiatry
I have nasal congestion and sinusitis,ENT
My baby has colic and gas problems,Pediatrics
I have numbness in my hands and feet and it's getting worse,Neurology
I have irritable bowel syndrome symptoms,Gastroenterology
I am experiencing trouble with balance and coordination,Neurology
I have ear pain and hearing loss and it's getting worse,ENT
I am feeling extremely anxious in public,Psychiatry
I experience dizziness and vertigo for several days,Neurology
I have flu-like symptoms for several days,General Medicine
I am experiencing difficulty breathing when lying down,Cardiology
I experience phobias and fears,Psychiatry
I suffer from persistent dizziness,Neurology
I am experiencing ear pain and hearing loss,ENT
I feel burning sensation in my stomach,Gastroenterology
I suffer from difficulty concentrating,Psychiatry
My baby is not feeding well and it's getting worse,Pediatrics
I have pink eye symptoms,Ophthalmology
I have arthritis in my hands,Orthopedics
I have painful blisters on my body,Dermatology
I suffer from difficulty swallowing food,Gastroenterology
My toddler has diarrhea and vomiting,Pediatrics
I have swollen lymph nodes in neck and it's getting worse,ENT
I have sinus pressure and headache,ENT
I feel suicidal thoughts,Psychiatry
I suffer from metabolic syndrome,General Medicine
I suffer from severe head pain and nausea,Neurology
My ankle is swollen and painful,Orthopedics
I feel tired all the time,General Medicine
I suffer from watery eyes constantly,Ophthalmology
I have persistent cough and cold,General Medicine
My joints are swollen and inflamed,Orthopedics
My skin feels hot and inflamed,Dermatology
I have pressure in my eyes,Ophthalmology
I feel pressure in my chest,Cardiology
My skin feels hot and inflamed,Dermatology
I am experiencing difficulty swallowing food,Gastroenterology
I experience frequent stomach upset,Gastroenterology
I have difficulty concentrating,Psychiatry
I suffer from persistent dizziness,Neurology
I have high blood pressure symptoms for several days,Cardiology
I suffer from ear infection symptoms,ENT
I have arthritis in my hands,Orthopedics
I have chronic sore throat,ENT
My child has stomach pain and fever,Pediatrics
I am feeling dizzy and my heart races,Cardiology
I suffer from chronic pain,General Medicine
I feel suicidal thoughts for several days,Psychiatry
I notice hand tremors and stiffness and it's getting worse,Neurology
I notice my scalp is itchy and flaky,Dermatology
I get short of breath while climbing stairs,Cardiology
My child complains of ear pain,Pediatrics
I suffer from post-traumatic stress symptoms,Psychiatry
I notice my skin is sensitive and burns easily,Dermatology
My baby has jaundice symptoms,Pediatrics
I experience chronic headaches and light sensitivity,Neurology
I have eating disorder symptoms,Psychiatry
I feel pressure in my chest,Cardiology
I have chronic constipation and it's getting worse,Gastroenterology
I suffer from metabolic syndrome,General Medicine
I suffer from diabetes symptoms and it's getting worse,General Medicine
I suffer from trouble managing anger,Psychiatry
I feel tightness in my chest area for several days,Cardiology
I am experiencing ear infection symptoms,ENT
I have hormonal imbalance issues,General Medicine
My child complains of ear pain,Pediatrics
My scalp is itchy and flaky,Dermatology
I notice unusual moles on my skin,Dermatology
I have pressure in my eyes and it's getting worse,Ophthalmology
I suffer from diabetes symptoms,General Medicine
I have anemia and weakness,General Medicine
I have hives and itching all over and it's getting worse,Dermatology
I get short of breath while climbing stairs,Cardiology
I am experiencing hormonal imbalance issues,General Medicine
My child has chicken pox symptoms and it's getting worse,Pediatrics
I have liver problems and jaundice and it's getting worse,Gastroenterology
I see floaters in my vision,Ophthalmology
I experience indigestion after eating,Gastroenterology
I have muscle weakness and fatigue for several days,Neurology
I have sports injury in my knee,Orthopedics
My child complains of ear pain,Pediatrics
I experience frequent stomach upset,Gastroenterology
My child has rash all over the body,Pediatrics
I am experiencing tremors in my hands,Neurology
I suffer from chronic stomach ulcers,Gastroenterology
I have vitamin deficiency symptoms and it's getting worse,General Medicine
I have difficulty breathing when lying down and it's getting worse,Cardiology
I feel dizzy and my heart races,Cardiology
I experience mood swings,Psychiatry
I suffer from chronic pain,General Medicine
I feel fatigued and have chest pressure,Cardiology
I experience palpitations and dizziness,Cardiology
I am experiencing tingling sensations in my limbs,Neurology
I notice my child has allergies and sneezing,Pediatrics
My child has chicken pox symptoms,Pediatrics
I am experiencing gallbladder pain after meals,Gastroenterology
My skin is sensitive and burns easily and it's getting worse,Dermatology
I suffer from sciatica and leg pain and it's getting worse,Orthopedics
I notice my child refuses to eat anything,Pediatrics
My scalp is itchy and flaky,Dermatology
My child has persistent cough and cold and it's getting worse,Pediatrics
My joints are swollen and inflamed,Orthopedics
My heart rate is very fast and it's getting worse,Cardiology
I have inflammatory bowel disease,Gastroenterology
I have difficulty seeing at night and it's getting worse,Ophthalmology
I have eczema on my hands,Dermatology
I suffer from chronic migraines with aura,Neurology
I get breathless even at rest,Cardiology
I have hormonal imbalance issues,General Medicine
My child complains of ear pain for several days,Pediatrics
My baby is not feeding well,Pediatrics
I have cataracts affecting my vision,Ophthalmology
My child has asthma and wheezing and it's getting worse,Pediatrics
I have vitamin deficiency symptoms and it's getting worse,General Medicine
I feel pressure in my chest for several days,Cardiology
I experience difficulty swallowing,ENT
I notice my child has allergies and sneezing,Pediatrics
I have elbow pain and stiffness and it's getting worse,Orthopedics
My pulse is irregular and rapid,Cardiology
I feel pressure in my chest,Cardiology
I am experiencing swollen eyelids and pain,Ophthalmology
My skin is very dry and flaky,Dermatology
I experience frequent stomach upset,Gastroenterology
My child has developmental delays and it's getting worse,Pediatrics
I have severe anxiety attacks for several days,Psychiatry
My child has allergies and sneezing and it's getting worse,Pediatrics
I have trouble managing anger,Psychiatry
I get breathless even at rest,Cardiology
I experience sudden vision loss,Ophthalmology
I feel extremely anxious in public for several days,Psychiatry
I have high blood pressure symptoms,Cardiology
I suffer from sleep apnea symptoms,ENT
I experience memory loss and confusion,Neurology
I suffer from chronic constipation,Gastroenterology
I have voice hoarseness and it's getting worse,ENT
I have difficulty seeing at night,Ophthalmology
My skin feels hot and inflamed,Dermatology
I have obsessive thoughts for several days,Psychiatry
I have voice hoarseness,ENT
I am experiencing high blood sugar levels,General Medicine
I have small bumps on my skin and it's getting worse,Dermatology
I have abdominal bloating and gas,Gastroenterology
I have persistent cough and cold,General Medicine
I have blood in my stool,Gastroenterology
I experience frequent nosebleeds,ENT
I have nerve pain in my legs,Neurology
I have tingling sensations in my limbs,Neurology
I feel depressed and hopeless and it's getting worse,Psychiatry
I have hormonal imbalance issues and it's getting worse,General Medicine
I have cataracts affecting my vision,Ophthalmology
I have hives and itching all over for several days,Dermatology
I notice my baby is not feeding well,Pediatrics
I have heel pain and can't walk properly,Orthopedics
I have voice hoarseness,ENT
I experience chronic headaches and light sensitivity for several days,Neurology
I notice acne breakouts on my face,Dermatology
I have chronic constipation,Gastroenterology
I have difficulty swallowing food for several days,Gastroenterology
My child is not gaining weight properly,Pediatrics
I experience chest discomfort after eating for several days,Cardiology
I twisted my ankle and it's very painful and it's getting worse,Orthopedics
I have cataracts affecting my vision,Ophthalmology
I have sinus pressure and headache and it's getting worse,ENT
My child has rash all over the body,Pediatrics
I suffer from respiratory infection,General Medicine
I suffer from chronic pain for several days,General Medicine
I have chest pain when I exercise,Cardiology
My joints are swollen and inflamed and it's getting worse,Orthopedics
I experience lower back pain and it's getting worse,Orthopedics
I have respiratory infection,General Medicine
I notice dark spots in my vision,Ophthalmology
I am experiencing swollen eyelids and pain,Ophthalmology
I suffer from chronic stomach ulcers and it's getting worse,Gastroenterology
I get short of breath while climbing stairs,Cardiology
I experience chronic fatigue and sadness,Psychiatry
I have dry eyes and discomfort,Ophthalmology
My ankle is swollen and painful for several days,Orthopedics
I experience chronic fatigue and sadness,Psychiatry
I have pink eye symptoms,Ophthalmology
I am experiencing chronic lower back ache,Orthopedics
My toddler has skin rashes and itching,Pediatrics
I have tingling sensations in my limbs,Neurology
I experience fever and chills,General Medicine
I have severe anxiety attacks for several days,Psychiatry
My legs swell and I feel chest tightness,Cardiology
I have pain in my wrist and fingers,Orthopedics
I experience acid reflux and heartburn,Gastroenterology
I have difficulty seeing at night,Ophthalmology
I am feeling extremely anxious in public,Psychiatry
I experience burning sensation in eyes and it's getting worse,Ophthalmology
My heart rate is very fast,Cardiology
I have difficulty hearing,ENT
I have post-traumatic stress symptoms and it's getting worse,Psychiatry
I have liver problems and jaundice for several days,Gastroenterology
I have swollen eyelids and pain,Ophthalmology
I experience indigestion after eating for several days,Gastroenterology
I experience mood swings,Psychiatry
I have hives and itching all over,Dermatology
I am experiencing difficulty speaking clearly,Neurology
I experience dehydration symptoms,General Medicine
I suffer from psoriasis patches,Dermatology
My eyes are red and itchy,Ophthalmology
I have trouble managing anger,Psychiatry
I notice my back hurts constantly,Orthopedics
I have ear pain and hearing loss,ENT
I have bipolar disorder symptoms,Psychiatry
My heart rate is very fast,Cardiology
I suffer from viral infection symptoms,General Medicine
I have double vision problems for several days,Ophthalmology
I have chronic lower back ache,Orthopedics
I am experiencing liver problems and jaundice,Gastroenterology
I experience malaise and body aches,General Medicine
I have chronic sore throat,ENT
I experience frequent nosebleeds,ENT
I get short of breath while climbing stairs,Cardiology
I have thyroid problems,General Medicine
I have weakness on one side of my body,Neurology
I feel extremely anxious in public,Psychiatry
I experience memory loss and confusion and it's getting worse,Neurology
I experience burning sensation in eyes,Ophthalmology
I experience vertigo and ear problems for several days,ENT
I have swelling in my ankles and feet,Cardiology
I experience unexplained weight loss,General Medicine
I experience dizziness and vertigo,Neurology
I have red patches on my arms and it's getting worse,Dermatology
I have difficulty swallowing food,Gastroenterology
I have skin discoloration and pigmentation,Dermatology
I have muscle weakness and fatigue,Neurology
I have blood in my stool,Gastroenterology
I have elbow pain and stiffness,Orthopedics
My child has rash all over the body for several days,Pediatrics
I suffer from swollen lymph nodes in neck,ENT
I have a skin rash that won't go away,Dermatology
I have hormonal imbalance issues,General Medicine
I suffer from voice hoarseness,ENT
I experience frequent urination,General Medicine
I have nerve pain in my legs for several days,Neurology
I have pain in my wrist and fingers and it's getting worse,Orthopedics
I suffer from chronic sinusitis for several days,ENT
I feel suicidal thoughts and it's getting worse,Psychiatry
I suffer from persistent dizziness,Neurology
I notice halos around lights for several days,Ophthalmology
I experience chest discomfort after eating for several days,Cardiology
I have general body weakness for several days,General Medicine
I notice yellow discharge from my eyes,Ophthalmology
I experience nausea and vomiting,Gastroenterology
My ankle is swollen and painful and it's getting worse,Orthopedics
I notice dark spots on my face,Dermatology
My child has high fever and cough,Pediatrics
I have sinus pressure and headache,ENT
I experience ringing in my ears,ENT
I suffer from painful blisters on my body,Dermatology
I have chest pain that worsens with activity,Cardiology
I suffer from weakness on one side of my body,Neurology
I have skin discoloration and pigmentation,Dermatology
My child has persistent cough and cold for several days,Pediatrics
I notice my child complains of ear pain,Pediatrics
I have nasal congestion and sinusitis,ENT
My toddler has diarrhea and vomiting,Pediatrics
My back hurts constantly,Orthopedics
I have itchy skin and rashes for several days,Dermatology
I have heel pain and can't walk properly,Orthopedics
I experience sudden vision loss,Ophthalmology
I have frequent severe headaches,Neurology
I experience chest discomfort after eating for several days,Cardiology
I experience loss of appetite and nausea,Gastroenterology
My child has high fever and cough,Pediatrics
My pulse is irregular and rapid,Cardiology
I have persistent cough and cold,General Medicine
I experience chest discomfort after eating,Cardiology
I notice my child complains of ear pain,Pediatrics
I can't sleep at night,Psychiatry
I have voice hoarseness,ENT
I suffer from ear pain and hearing loss,ENT
I am experiencing eczema on my hands,Dermatology
I suffer from swollen lymph nodes in neck,ENT
I have ear pain and hearing loss and it's getting worse,ENT
I suffer from viral infection symptoms,General Medicine
I experience severe acne and scarring for several days,Dermatology
I have eating disorder symptoms,Psychiatry
I have difficulty seeing at night for several days,Ophthalmology
I have sports injury in my knee,Orthopedics
I have pink eye symptoms,Ophthalmology
I experience vertigo and ear problems,ENT
I am experiencing neck pain and limited movement,Orthopedics
I have panic attacks frequently,Psychiatry
I notice unusual moles on my skin,Dermatology
I have heel pain and can't walk properly,Orthopedics
I suffer from thyroid problems,General Medicine
I have watery eyes constantly,Ophthalmology
I notice my baby cries constantly and won't sleep,Pediatrics
I experience rapid heartbeat and sweating,Cardiology
My knees crack and hurt when climbing stairs,Orthopedics
I experience loss of appetite and nausea,Gastroenterology
I have difficulty hearing,ENT
I notice my child has high fever and cough,Pediatrics
I experience loss of appetite and nausea,Gastroenterology
I have abdominal bloating and gas,Gastroenterology
I have gallbladder pain after meals,Gastroenterology
I have knee pain when walking for several days,Orthopedics
I have difficulty seeing at night,Ophthalmology
I have irritable bowel syndrome symptoms for several days,Gastroenterology
I have frequent severe headaches,Neurology
My baby has jaundice symptoms,Pediatrics
I feel dizzy and my heart races,Cardiology
My child has stomach pain and fever,Pediatrics
My baby has jaundice symptoms for several days,Pediatrics
I have sinus pressure and headache for several days,ENT
I have general body weakness,General Medicine
I am experiencing nerve pain in my legs,Neurology
I have ear pain and hearing loss,ENT
I experience dizziness and vertigo,Neurology
I have voice hoarseness,ENT
My toddler has frequent infections,Pediatrics
I experience chest discomfort after eating,Cardiology
I suffer from chest pain that worsens with activity,Cardiology
My legs swell and I feel chest tightness,Cardiology
I suffer from migraines regularly,Neurology
I have numbness in my hands and feet,Neurology
My heart beats irregularly sometimes,Cardiology
I have obsessive thoughts,Psychiatry
I experience rapid heartbeat and sweating,Cardiology
I am experiencing blood in my stool,Gastroenterology
I have bipolar disorder symptoms,Psychiatry
My pulse is irregular and rapid for several days,Cardiology
I have severe stomach pain,Gastroenterology
I have general body weakness,General Medicine
I have attention deficit symptoms,Psychiatry
I experience indigestion after eating,Gastroenterology
I suffer from persistent dizziness and it's getting worse,Neurology
I experience phobias and fears,Psychiatry
I suffer from sciatica and leg pain,Orthopedics
I have hives and itching all over,Dermatology
I feel suicidal thoughts,Psychiatry
I get short of breath while climbing stairs,Cardiology
I have difficulty swallowing food and it's getting worse,Gastroenterology
I am experiencing watery eyes constantly,Ophthalmology
I suffer from sciatica and leg pain,Orthopedics
I have sinus pressure and headache and it's getting worse,ENT
I have red patches on my arms and it's getting worse,Dermatology
I suffer from hormonal imbalance issues,General Medicine
I experience vision problems and headaches for several days,Neurology
I suffer from eating disorder symptoms,Psychiatry
I notice yellow discharge from my eyes,Ophthalmology
I have swelling in my ankles and feet and it's getting worse,Cardiology
I have difficulty breathing when lying down,Cardiology
I experience frequent urination and it's getting worse,General Medicine
I have nerve pain in my legs for several days,Neurology
I have attention deficit symptoms,Psychiatry
I experience phobias and fears,Psychiatry
I suffer from chest pain that worsens with activity,Cardiology
I have red patches on my arms,Dermatology
I notice gradual vision deterioration for several days,Ophthalmology
I experience acid reflux and heartburn and it's getting worse,Gastroenterology
I have difficulty speaking clearly,Neurology
I experience chronic fatigue and sadness,Psychiatry
I am experiencing severe stomach pain,Gastroenterology
I experience social anxiety,Psychiatry
I notice my ankle is swollen and painful,Orthopedics
I experience phobias and fears,Psychiatry
I am experiencing difficulty hearing,ENT
My child has allergies and sneezing,Pediatrics
I experience indigestion after eating,Gastroenterology
I experience hip pain while sitting,Orthopedics
I feel pressure in my chest and it's getting worse,Cardiology
I notice yellow discharge from my eyes,Ophthalmology
I have severe anxiety attacks and it's getting worse,Psychiatry
I experience ringing in my ears,ENT
I experience difficulty swallowing,ENT
I have elbow pain and stiffness,Orthopedics
I notice hand tremors and stiffness,Neurology
I have heel pain and can't walk properly,Orthopedics
I have high blood sugar levels,General Medicine
I have heel pain and can't walk properly for several days,Orthopedics
My child has asthma and wheezing and it's getting worse,Pediatrics
My skin is peeling and irritated,Dermatology
I experience frequent stomach upset,Gastroenterology
I get breathless even at rest and it's getting worse,Cardiology
I have nerve pain in my legs,Neurology
I have pain in my wrist and fingers,Orthopedics
I notice halos around lights for several days,Ophthalmology
I notice halos around lights,Ophthalmology
I have liver problems and jaundice,Gastroenterology
I experience phobias and fears,Psychiatry
I have bipolar disorder symptoms for several days,Psychiatry
I experience blackouts and confusion,Neurology
I have bipolar disorder symptoms for several days,Psychiatry
I have blurry vision and it's getting worse,Ophthalmology
I experience light sensitivity and pain,Ophthalmology
I notice halos around lights,Ophthalmology
I have trouble with balance and coordination,Neurology
I suffer from persistent abdominal cramps,Gastroenterology
I suffer from chronic pain,General Medicine
I have chronic constipation for several days,Gastroenterology
I twisted my ankle and it's very painful,Orthopedics
I notice my baby has jaundice symptoms,Pediatrics
I suffer from severe stomach pain,Gastroenterology
I feel burning sensation in my stomach and it's getting worse,Gastroenterology
My ankle is swollen and painful and it's getting worse,Orthopedics
I suffer from severe anxiety attacks,Psychiatry
I have nerve pain in my legs,Neurology
I suffer from pain radiating to my jaw,Cardiology
I experience vertigo and ear problems,ENT
I see floaters in my vision,Ophthalmology
I have persistent cough and cold for several days,General Medicine
I have weakness on one side of my body,Neurology
I have trouble with balance and coordination for several days,Neurology
I have hives and itching all over,Dermatology
I experience ringing in my ears,ENT
I have cataracts affecting my vision,Ophthalmology
My skin is very dry and flaky,Dermatology
I experience dehydration symptoms,General Medicine
I have thyroid problems and it's getting worse,General Medicine
I feel dizzy and my heart races,Cardiology
I am experiencing pain radiating to my jaw,Cardiology
I suffer from chronic pain for several days,General Medicine
I have eczema on my hands,Dermatology
I have liver problems and jaundice,Gastroenterology
I have hormonal imbalance issues for several days,General Medicine
I have frequent severe headaches for several days,Neurology
I have fungal infection on my feet,Dermatology
I experience hallucinations and delusions,Psychiatry
I have knee pain when walking,Orthopedics
I experience sudden vision loss and it's getting worse,Ophthalmology
I have high blood sugar levels,General Medicine
I suffer from diabetes symptoms and it's getting worse,General Medicine
I have knee pain when walking and it's getting worse,Orthopedics
I have swollen lymph nodes in neck,ENT
My baby has jaundice symptoms,Pediatrics
I have elbow pain and stiffness,Orthopedics
I suffer from severe stomach pain,Gastroenterology
I experience fever and chills,General Medicine
I experience rapid heartbeat and sweating,Cardiology
I have watery eyes constantly,Ophthalmology
I notice my child complains of ear pain,Pediatrics
I have ear pain and hearing loss,ENT
I feel tightness in my chest area,Cardiology
I suffer from nasal congestion and sinusitis,ENT
I have vitamin deficiency symptoms,General Medicine
I suffer from chronic acid reflux,Gastroenterology
I have dry eyes and discomfort for several days,Ophthalmology
I have neck pain and limited movement for several days,Orthopedics
I have general body weakness,General Medicine
I have blurry vision,Ophthalmology
I have post-traumatic stress symptoms,Psychiatry
My child has asthma and wheezing,Pediatrics
I have itchy skin and rashes and it's getting worse,Dermatology
I have painful blisters on my body and it's getting worse,Dermatology
I have gallbladder pain after meals and it's getting worse,Gastroenterology
I experience fever and chills,General Medicine
My child refuses to eat anything and it's getting worse,Pediatrics
I experience memory loss and confusion,Neurology
I experience rapid heartbeat and sweating,Cardiology
I experience loss of smell and taste,ENT
I experience loss of smell and taste for several days,ENT
I have post-traumatic stress symptoms,Psychiatry
My legs swell and I feel chest tightness,Cardiology
I feel fatigued and have chest pressure,Cardiology
I have tingling sensations in my limbs,Neurology
I have pressure in my eyes,Ophthalmology
My child refuses to eat anything for several days,Pediatrics
I notice unusual moles on my skin and it's getting worse,Dermatology
I experience burning sensation in eyes,Ophthalmology
I notice warts on my hands,Dermatology
I have gallbladder pain after meals for several days,Gastroenterology
I suffer from anemia and weakness,General Medicine
I experience light sensitivity and pain,Ophthalmology
I have irritable bowel syndrome symptoms and it's getting worse,Gastroenterology
I have small bumps on my skin,Dermatology
My skin feels hot and inflamed,Dermatology
I have red patches on my arms and it's getting worse,Dermatology
My child has persistent cough and cold and it's getting worse,Pediatrics
I have swollen lymph nodes in neck,ENT
I have viral infection symptoms and it's getting worse,General Medicine
My skin is sensitive and burns easily,Dermatology
I suffer from chronic acid reflux,Gastroenterology
I have throat infection and fever,ENT
I have thyroid problems for several days,General Medicine
I experience sudden vision loss,Ophthalmology
I feel pressure in my chest,Cardiology
I suffer from tonsillitis,ENT
I experience vision problems and headaches for several days,Neurology
I have viral infection symptoms,General Medicine
I feel tightness in my chest area and it's getting worse,Cardiology
I experience dehydration symptoms,General Medicine
I have swelling in my ankles and feet,Cardiology
I am experiencing post-traumatic stress symptoms,Psychiatry
My child refuses to eat anything,Pediatrics
My toddler has skin rashes and itching,Pediatrics
I am experiencing trouble with balance and coordination,Neurology
I can't sleep at night,Psychiatry
I experience dizziness and vertigo,Neurology
I have ear discharge and pain,ENT
I suffer from tremors in my hands,Neurology
I experience chronic headaches and light sensitivity and it's getting worse,Neurology
I experience nausea and vomiting,Gastroenterology
I suffer from chronic stomach ulcers,Gastroenterology
I suffer from elbow pain and stiffness,Orthopedics
I am experiencing chronic constipation,Gastroenterology
I suffer from diarrhea frequently,Gastroenterology
I am experiencing persistent cough and throat irritation,ENT
I experience chest discomfort after eating,Cardiology
I feel dizzy and my heart races for several days,Cardiology
I have chronic sore throat,ENT
I experience social anxiety,Psychiatry
I have vitamin deficiency symptoms,General Medicine
I suffer from food intolerance issues,Gastroenterology
I experience vision problems and headaches,Neurology
I suffer from chronic allergic rhinitis,ENT
My legs swell and I feel chest tightness for several days,Cardiology
I have ear infection symptoms and it's getting worse,ENT
I notice yellow discharge from my eyes for several days,Ophthalmology
I experience loss of appetite and nausea,Gastroenterology
My legs swell and I feel chest tightness,Cardiology
My child has chicken pox symptoms,Pediatrics
I feel tightness in my chest area,Cardiology
I have neck pain and limited movement,Orthopedics
I have skin discoloration and pigmentation,Dermatology
